1,james.gvr,01/01/2019 08:00:00,5,Today's outfit: collared shirt #3235
2,pah,01/01/2019 09:00:00,3,Wo xihuan jiaozi
3,pah,02/01/2019 18:00:00,2,I am the master of making cocktails
4,tom,02/01/2019 18:01:00,2,no - I am the true cocktail master!
5,emily,03/01/2019 13:00:00,9,oh no I have a thesis meeting today!
6,tom,03/01/2019 13:01:00,21,project proposal due tomorrow :(
7,emily,03/01/2019 13:02:00,3,lmao rip
8,hob,04/01/2019 10:00:00,100,Puns are my priority - I have a heap of them. I am quick to hash out new puns by merging bits of words together and can even do 2-4 at a time. I kinda feel like I have a big-O(bligation) to consistently make puns - it is a good thing I am always capable of splaying out a stack of them. I'm a big fan of the depth of some graph puns but I tend to direct myself so I only touch the edge of the breadth of these puns - I don't like being too greedy. I do trie very hard to leaf some of my tree puns alone but I am stuck in a bit of a root-ine.
9,emily,04/01/2019 10:01:00,99,oh please no
10,james.gvr,04/01/2019 10:01:00,1,WARNING: Master pun thief at work here!!! Be warned @hob - I will steal all your puns!
